,CurrentLat,CurrentLong,City,State.Province.Region,Country,Color
S_102,33.91,-84.31,Atlanta,GA,United States,Amplicon
S_103,51.05,-114.18,Calgary,Alberta,Canada,Amplicon
S_111,44.49,-72.37,Hardwick,VT,United States,Amplicon
S_113,42.38,-71.11,Somerville,MA,United States,Amplicon
S_116,39.62,-79.95,Morgantown,WV,United States,Amplicon
S_117,39.55,-119.79,Reno,NV,United States,Amplicon
S_118,37.8,-122.44,San Francisco,CA,United States,Amplicon
S_12,35.11,-78.87,Fayetteville,NC,United States,Amplicon
S_131,46.73,-117,Moscow,ID,United States,Amplicon
S_134,48.28,-116.57,Sandpoint,ID,United States,Amplicon
S_138,48.04,-123.44,Port Angeles,WA,United States,Amplicon
S_14,43.64,-70.41,Gorham,ME,United States,Amplicon
S_145,37.75,-122.46,San Francisco,CA,United States,Amplicon
S_15,46.86,-122.22,Eatonville,WA,United States,Amplicon
S_159,37.9,-122.29,El Cerrito,CA,United States,Amplicon
S_16,37.64,-79.59,Natural Bridge,VA,United States,Amplicon
S_164,33.92,-83.41,Athens,GA,United States,Amplicon
S_168,44.96,-93.23,Minneapolis,MN,United States,Amplicon
S_17,42.11,-87.78,Northfield,IL,United States,Amplicon
S_170,41.48,-81.74,Cleveland,OH,United States,Amplicon
S_171,44.44,-124.08,Waldport,OR,United States,Amplicon
S_172,37.89,-122.3,Albany,CA,United States,Amplicon
S_173,47.14,-122.82,Olympia,WA,United States,Amplicon
S_174,38.28,-122.29,Napa,CA,United States,Amplicon
S_175,41.3,-105.57,Laramie,WY,United States,Amplicon
S_177,47.68,-122.1,Redmond,WA,United States,Amplicon
S_181,48.72,-122.5,Bellingham,WA,United States,Amplicon
S_185,40.42,-104.7,Greeley,CO,United States,Amplicon
S_191,35.49,-97.55,Okalhoma City,OK,United States,Amplicon
S_192,36.98,-121.89,Aptos,CA,United States,Amplicon
S_195,29.78,-95.4,Houston,TX,United States,Amplicon
S_2,39.74,-105.05,Denver,CO,United States,Amplicon
S_208,38.88,-96.56,Alta Vista,KS,United States,Amplicon
S_212,35.31,-120.86,Los Osos,CA,United States,Amplicon
S_223,41.04,-73.67,Greenwich,CT,United States,Amplicon
S_226,39.12,-92.37,Columbia,MO,United States,Amplicon
S_231,44.79,-122.96,Turner,OR,United States,Amplicon
S_236,47.66,-122.33,Seattle,WA,United States,Amplicon
S_237,47.91,-122.1,Snohomish,WA,United States,Amplicon
S_239,33.97,-118.4,Los Angeles,CA,United States,Amplicon
S_240,44.32,-89.29,Almond,WI,United States,Amplicon
S_241,36.98,-121.92,Aptos,CA,United States,Amplicon
S_246,37.23,-121.95,Los Gatos,CA,United States,Amplicon
S_253,39.91,-86.31,Indianapolis,IN,United States,Amplicon
S_256,37.34,-122,Santa Clara,CA,United States,Amplicon
S_257,-37.63,145.18,Hurstbridge,Victoria,Australia,Amplicon
S_261,42.32,-72.63,Northampton,MA,United States,Amplicon
S_262,33.78,-84.37,Atlanta,GA,United States,Amplicon
S_263,40.57,-109.92,Whiterocks,UT,United States,Amplicon
S_269,47.64,-122.35,Seattle,WA,United States,Amplicon
S_273,42.99,-72.66,Brattleboro,VT,United States,Amplicon
S_277,51.51,-0.09,London,London,United Kingdom,Amplicon
S_278,42.91,-78.72,Depew,NY,United States,Amplicon
S_284,47.6,-122.31,Seattle,WA,United States,Amplicon
S_287,44.91,-93.1,West Saint Paul,MN,United States,Amplicon
S_29,35.82,-78.71,Raleigh,NC,United States,Amplicon
