,G_275_3_oxydans_prokka,G_514_1B_orientalis_prokka,G_361_1B_senegalensis_prokka,G_517_1B_acetobacter_prokka,G_272_1B_malorum_prokka,G_507_1A_malorum_prokka,G_490_1A_malorum_prokka,G_24_1A_oryzi_prokka,G_154_1A_ghanensis_prokka,G_97_1A_fabarum_prokka
G_275_3_oxydans_prokka,1,0.094113294,0.136303837,0.145290023,0.148236727,0.142708469,0.144998055,0.104363917,0.103209083,0.104376432
G_514_1B_orientalis_prokka,0.094113294,1,0.379489997,0.324753488,0.348640116,0.333000982,0.335185383,0.280958239,0.250414609,0.259694
G_361_1B_senegalensis_prokka,0.117019266,0.316078235,1,0.352584029,0.376935728,0.35411164,0.35953457,0.265553115,0.23932236,0.23791811
G_517_1B_acetobacter_prokka,0.134308366,0.31619392,0.406627678,1,0.625491368,0.620094497,0.622141242,0.306197099,0.278255736,0.279061821
G_272_1B_malorum_prokka,0.137834366,0.331016388,0.420732477,0.613717148,1,0.698641004,0.719644258,0.301254133,0.277905916,0.276869174
G_507_1A_malorum_prokka,0.145222961,0.332005723,0.422652029,0.638906681,0.738094157,1,0.872574464,0.326878713,0.295305923,0.295414142
G_490_1A_malorum_prokka,0.143018708,0.320096527,0.415383996,0.617918678,0.726234901,0.839936574,1,0.313147896,0.288005943,0.278911903
G_24_1A_oryzi_prokka,0.137834366,0.296913023,0.332792643,0.336290977,0.341549405,0.346852048,0.344679591,1,0.357602163,0.348741324
G_154_1A_ghanensis_prokka,0.132795181,0.313840333,0.358183551,0.367922094,0.376735362,0.379669086,0.381643633,0.423265175,1,0.671871432
G_97_1A_fabarum_prokka,0.127634492,0.313218799,0.345367451,0.360709665,0.361284786,0.363872188,0.3594353,0.40721048,0.656662451,1
