,MDS1,MDS2,VOCID,,,
trans-2-undecenoic acid,-0.01987991,-0.3260143,trans-2-undecenoic acid,,,
1-Butanol,0.06539774,-0.1133809,1-Butanol,,,
Stearic acid,-1.310884038,-0.409311144,Stearic acid,,,
"Cyclopropanetetradecanoic acid, 2-octyl-, methyl ester",-0.03487821,-0.527616728,"Cyclopropanetetradecanoic acid, 2-octyl-, methyl ester",,,
"2,6,11-trimethyldodecane",-0.720838648,-0.162034434,"2,6,11-trimethyldodecane",,,
"Undecane, 4,8-dimethyl-",-0.3283506,-0.01171497,"Undecane, 4,8-dimethyl-",,,
3-Hydroxypropyl palmitate,-0.825585716,0.408594391,3-Hydroxypropyl palmitate,,,
"2,6,11,15-Tetramethylhexadecane",-0.391277,-0.09916241,"2,6,11,15-Tetramethylhexadecane",,,
Undecane,-0.761147227,-0.166900828,Undecane,,,
"2,6,10-Trimethyltetradecane",-0.3451994,0.01256088,"2,6,10-Trimethyltetradecane",,,
Myo-Inositol,0.818764375,-0.45066674,Myo-Inositol,,,
Decane,-0.06927432,-0.041278981,Decane,,,
Heptacosane,0.456715918,-0.218218708,Heptacosane,,,
Palmitic Acid,0.888481407,-0.679163102,Palmitic Acid,,,
Ethyl iso-allocholate,-0.2488698,0.3986706,Ethyl iso-allocholate,,,
"2,4,6-Trimethyldecane",-0.3013222,0.003410662,"2,4,6-Trimethyldecane",,,
2-Methyleicosane,-0.547347369,-0.174275476,2-Methyleicosane,,,
"2,7,10-trimethyldodecane",-0.3189182,-0.06956182,"2,7,10-trimethyldodecane",,,
Dodecyl iodide,0.599346599,-0.255114644,Dodecyl iodide,,,
Galactopyranose,0.435793772,-0.097902265,Galactopyranose,,,
D-Mannitol,-0.2361791,0.3637417,D-Mannitol,,,
Glycerol monostearate,0.259011256,0.528836258,Glycerol monostearate,,,
Isocalamenediol,0.08525257,0.2916125,Isocalamenediol,,,
Heptadecane,0.59419684,-0.472915816,Heptadecane,,,
"2,4-Di-tert-butylphenol",0.417661505,0.037831508,"2,4-Di-tert-butylphenol",,,
n-Hexadecanoic acid,0.437353667,0.278518767,n-Hexadecanoic acid,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
