sampleID,comm_type,condition,aab_noaab,well,pH
YL2_YL,YL,no_aab,no_aab,1,4.79
YL2_YL,YL,no_aab,no_aab,2,4.89
YL2_YL,YL,no_aab,no_aab,3,4.79
YL2_YL,YL,no_aab,no_aab,4,4.82
YL2_YL,YL,no_aab,no_aab,8,4.9
YL2_A1,A1,ghanensis,aab,1,4.08
YL2_A1,A1,ghanensis,aab,2,4.06
YL2_A1,A1,ghanensis,aab,3,4.08
YL2_A1,A1,ghanensis,aab,4,4.16
YL2_A1,A1,ghanensis,aab,8,4.11
YL2_A2,A2,malorum,aab,1,3.81
YL2_A2,A2,malorum,aab,2,3.84
YL2_A2,A2,malorum,aab,3,3.82
YL2_A2,A2,malorum,aab,4,3.82
YL2_A2,A2,malorum,aab,8,3.87
YL2_A3,A3,orientalis,aab,1,3.73
YL2_A3,A3,orientalis,aab,2,3.77
YL2_A3,A3,orientalis,aab,3,3.73
YL2_A3,A3,orientalis,aab,4,3.76
YL2_A3,A3,orientalis,aab,8,3.7
YL2_A4,A4,malorum,aab,1,4.15
YL2_A4,A4,malorum,aab,2,4.08
YL2_A4,A4,malorum,aab,3,4.3
YL2_A4,A4,malorum,aab,4,4.27
YL2_A4,A4,malorum,aab,8,4
YL2_A5,A5,acetobacter,aab,1,4.01
YL2_A5,A5,acetobacter,aab,2,4.08
YL2_A5,A5,acetobacter,aab,3,4.1
YL2_A5,A5,acetobacter,aab,4,4.07
YL2_A5,A5,acetobacter,aab,8,3.95
YL2_A6,A6,fabarum,aab,1,3.82
YL2_A6,A6,fabarum,aab,2,3.84
YL2_A6,A6,fabarum,aab,3,3.82
YL2_A6,A6,fabarum,aab,4,3.83
YL2_A6,A6,fabarum,aab,8,3.85
YL2_A7,A7,potus,aab,1,3.55
YL2_A7,A7,potus,aab,2,3.56
YL2_A7,A7,potus,aab,3,3.55
YL2_A7,A7,potus,aab,4,3.56
YL2_A7,A7,potus,aab,8,3.6
YL2_A8,A8,oryzifermentans,aab,1,4.34
YL2_A8,A8,oryzifermentans,aab,2,4.37
YL2_A8,A8,oryzifermentans,aab,3,4.34
YL2_A8,A8,oryzifermentans,aab,4,4.37
YL2_A8,A8,oryzifermentans,aab,8,4.39
YL2_A9,A9,senegalensis,aab,1,3.85
YL2_A9,A9,senegalensis,aab,2,3.88
YL2_A9,A9,senegalensis,aab,3,3.91
YL2_A9,A9,senegalensis,aab,4,3.74
YL2_A9,A9,senegalensis,aab,8,3.81
YL2_A10,A10,malorum,aab,1,3.85
YL2_A10,A10,malorum,aab,2,3.94
YL2_A10,A10,malorum,aab,3,3.96
YL2_A10,A10,malorum,aab,4,3.93
YL2_A10,A10,malorum,aab,8,3.93
YL2_C,control,control,no_aab,1,5.87
YL2_C,control,control,no_aab,2,6
YL2_C,control,control,no_aab,3,6.04
YL2_C,control,control,no_aab,4,5.99
YL2_C,control,control,no_aab,8,5.92
