Sample,Group,YL_A,"10,12-Tricosadiynoic acid",1-Butanol,"1-Dodecanol, 3,7,11-trimethyl-",1-Monopalmitin,"2,3,5,8-Tetramethyldecane","2,4,6-Trimethyldecane","2,4-Di-tert-butylphenol","2,6,10-Trimethyltetradecane","2,6,11,15-Tetramethylhexadecane","2,6,11-trimethyldodecane","2,6-Bis(tert-butyl)phenol","2,6-Dimethylundecane","2,7,10-trimethyldodecane",2-Hexadecanol,2-Hydroxy-3-methylbutyric acid,2-Methyl-1-hexadecanol ,2-Methyleicosane,2-Methyloctadecane,2-Methylundecane,2-Myristynoyl pantetheine,2-Vinyl-9-[3-deoxy-β-d-ribofuranosyl]hypoxanthine,3-Ethyl-5-(2'-ethylbutyl)octadecane,3-Hydroxypropyl palmitate,4-Ethyl-1-octyn-3-ol,4-Methyldecane,6-Methyloctadecane,6-Pentadecanol,alpha-Ketoisovaleric acid,Benzoic Acid,Butanedioic acid,Citric acid,"Cyclopropanetetradecanoic acid, 2-octyl-, methyl ester",Decanal,Decane,D-Mannitol,Dodecyl iodide,Ethyl iso-allocholate,Fumaric acid,Galactopyranose,Glycerol monostearate,Heptacosane,Heptadecane,Hexadecane,Isocalamenediol,Lactic Acid,Lactose,L-Arabitol,Malic acid,Melibiose,Myo-Inositol,"N,N-Dimethylglycine",n-Hexadecanoic acid,Nonadecane,Octadecanoic acid,Palmitic Acid,Pentadecane,Phosphoric acid,Pyrrole,Stearic acid,tert-Hexadecanethiol,trans-2-undecenoic acid,Undecane,"Undecane, 4,8-dimethyl-","β-D-Glucopyranose, 4-O-β-D-galactopyranosyl-"
YL2_YL_A,YL,YL,0.000471777,0.001234735,0.002716783,0.063336298,0.000948191,0.001032581,0.016769122,0.000668111,0.00078317,0.001759308,0.000658637,0.004387482,0.001413282,0.005993828,0.001507503,0.001750583,0.000885425,0.012527403,0.004638814,0.000963755,0.000953771,0.000505395,0.000547359,0.004770903,0.000304732,0.004386247,0.00085874,0.000367162,0.004098312,0.00128145,0.000506239,0.001009603,0.00174154,0.000184601,0.023844155,0.021514411,0.000502378,0.000610967,0.010851622,0.03781197,0.00693585,0.022965943,0.000889797,0.014822807,0.023101081,0.007051762,0.001481675,0.001712753,0.038301907,0.203878933,0.001555766,0.033213967,0.005721017,0.016959287,0.351404289,0.00424569,0.015296768,0.000244038,0.000317263,0.000480825,0.000656534,0.000549128,0.00122764,0.005886937
YL2_YL_B,YL,YL,0.001088253,0.001917105,0.004388903,0.064700656,0.000838835,0.000620664,0.017659473,0.001821455,0.000736392,0.000216118,0.000656872,0.004154276,0.000673646,0.004351273,0.001444841,0.005665714,0.00214544,0.016767884,0.004792665,0.001112774,0.001410545,0.000365091,0.001849373,0.005584936,0.001205485,0.005645203,0.002495745,0.000722041,0.004742828,0.000264424,0.002328896,0.021081443,0.00164592,0.002141733,0.001090724,0.022221974,0.001401702,0.000486962,0.0106239,0.040390135,0.009820356,0.024223327,0.000930212,0.018073794,0.019605904,0.007201336,0.001699462,0.001669411,0.047933878,0.199020628,0.000278998,0.06581264,0.005980115,0.024368701,0.28549139,0.002714993,0.011666331,0.000612346,0.000410107,0.000417546,0.001626397,0.001212368,0.001450094,0.004327366
YL2_A2_A,A2_6_7,AAB,0.000481359,0.008954736,0.00108646,0.001413218,0.004099729,0.01826261,0.000341695,0.020854332,0.027779379,0.089345651,0.006497022,0.001352579,0.020403254,0.000287022,0.000945815,0.000392256,0.045091168,0.046412586,0.001152305,0.004570305,0.000737934,0.005946469,0.002088127,0.004354545,0.010130428,0.006295188,0.002594371,0.00572835,0.001724514,0.025569526,0.01535055,0.034320347,0.028506944,0.010377124,0.000904778,0.001077001,0.002003627,0.011697987,0.001609751,0.001927381,0.003968939,0.001095238,0.004590792,0.001292616,0.001178363,0.027117846,0.095116627,0.015442495,0.036410127,0.00086776,0.005452222,0.001319403,0.000724482,0.000221993,0.00195117,0.001381328,0.000932511,0.006989653,0.171316938,0.016599674,0.016662048,0.102334822,0.01375829,0.000606245
YL2_A2_B,A2_6_7,AAB,0.001666068,0.011009176,0.000326443,0.00133313,0.006692226,0.022965334,0.000584296,0.026803273,0.034259694,0.116323339,0.007881536,0.00280407,0.026795424,0.001572552,0.001930047,0.00073597,0.05366857,0.002913631,0.002339532,0.001651746,0.00031615,0.008037822,0.002591702,0.001371098,0.012804075,0.009012739,0.001666921,0.006001984,0.004966996,0.0190242,0.005316195,0.048099336,0.041514808,0.013832668,0.001420717,0.000578895,0.001156819,0.0078962,0.002402008,0.002615,0.001971395,0.001165703,0.006633348,0.006027408,0.001192597,0.053727221,0.000988144,0.002067675,0.055955151,0.000641896,0.000389482,0.032491228,0.002811732,0.013442241,0.001537967,0.004467419,0.010462674,0.009659972,0.088561211,0.005239801,0.025922377,0.13250961,0.026336999,0.000914361
YL2_A4_A,A4,AAB,0.000285211,0.007257398,0.000896817,0.001639535,0.001607215,0.001297372,0.005312925,0.000695687,0.000564475,0.001545216,0.00067931,0.001060734,0.000928532,0.000379751,0.001015343,0.002851315,0.000271704,0.055873049,0.005026409,0.005093238,0.000693815,0.004767873,0.000276244,0.009390525,0.000268512,0.000829597,0.000580153,0.010391761,0.002805714,0.00802722,0.014814331,0.027200379,0.023647283,0.004473895,0.000728553,0.065978048,0.000418121,0.01198266,0.020354757,0.000356222,0.036376139,0.078745879,0.001519788,0.000989603,0.00034559,0.038031703,0.001408027,0.057771635,0.022857515,0.102720516,0.005939425,0.001217056,0.004614269,0.000738694,0.31582004,0.00063051,0.001230492,0.006238808,0.001725875,0.000940732,0.014102695,0.001497579,0.000417563,0.00185297
YL2_A4_B,A4,AAB,0.001601159,0.006426867,0.001250196,0.001501756,0.00057605,0.001706567,0.004671808,0.001326598,0.001686128,0.000935597,0.001467683,0.001696784,0.000479965,0.001098143,0.00075069,0.002222918,0.00106547,0.034492041,0.003197935,0.007850952,0.00051809,0.005435526,0.001135233,0.008480184,0.000859732,0.001684598,0.001303564,0.009314693,0.000777302,0.029858564,0.013626219,0.021354331,0.019951466,0.003742422,0.000565027,0.05783418,0.001117467,0.006662721,0.020236465,0.000228286,0.03303454,0.068699004,0.000403786,0.000628387,0.115284818,0.015784925,0.001191078,0.000483162,0.035529689,0.132109816,0.01483408,0.001679429,0.003758407,0.00029444,0.271951534,0.001515602,0.001221488,0.00540266,0.001737347,0.000917367,0.011040044,0.000581403,0.000817344,0.000408273
YL2_A4_C,A4,AAB,0.001327551,0.00658788,0.000959387,0.000793454,0.001491784,0.001074264,0.005058288,0.000381385,0.000386291,0.001164959,0.001048733,0.00050607,0.000584904,0.001484014,0.000431123,0.004031254,0.000743197,0.031736502,0.003472683,0.007297655,0.000211932,0.004167037,0.000831153,0.008364971,0.000243113,0.000280135,0.00081019,0.008210776,0.003434125,0.024581592,0.009368672,0.018139017,0.020811619,0.003895867,0.001201378,0.054448333,0.0013072,0.006364727,0.016573527,0.000468312,0.027201727,0.064642337,0.000352131,0.001461146,0.224594809,0.029535574,0.000992986,0.012435801,0.017115218,0.06211868,0.004496817,0.001308718,0.003969856,0.000994467,0.27463689,0.000594225,0.000191234,0.005197602,0.000855251,0.001161272,0.009940981,0.000855273,0.000213817,0.000858131
YL2_A6_A,A2_6_7,AAB,0.001951709,0.011835132,0.002078499,0.002928492,0.007096534,0.024918885,0.002790029,0.031248471,0.036264174,0.117202639,0.009152867,0.002997499,0.028297275,0.002780981,0.006333278,0.002448207,0.058907928,0.00075425,0.000625169,0.007697707,0.002876137,0.010263276,0.001500194,0.000475053,0.014206793,0.014807814,0.005171448,0.006809671,0.0040258,0.00733944,0.000501981,0.045102267,0.042782611,0.015087847,0.002882033,0.002092916,0.001123054,0.007944166,0.000867001,0.000559322,0.000793799,0.002630028,0.0068869,0.00086568,0.000512859,0.003059678,0.000514394,0.002675851,0.05118616,0.000623008,0.003084081,0.001823769,0.001893135,0.00100534,0.001960049,0.004619289,0.00209975,0.0100324,0.169603082,0.001626087,0.022496779,0.140655986,0.022284269,0.002339083
YL2_A6_C,A2_6_7,AAB,0.0015045,0.009817329,0.002568821,0.000589704,0.005885062,0.019646357,0.000895766,0.02190131,0.023502231,0.091051333,0.006870455,0.001584957,0.021084444,0.004274131,0.005043269,0.001722583,0.047167515,0.000963536,0.002101537,0.005068521,0.000596299,0.007237952,0.001612831,0.005028411,0.011079678,0.011039498,0.000684906,0.010616856,0.004014025,0.037715123,0.018078721,0.032453041,0.034633866,0.01203102,0.000571681,0.00042026,0.000403059,0.007702906,0.000832881,0.002016347,0.001985115,0.000254577,0.004986859,0.00250076,0.000691816,0.001878812,0.102805381,0.002808915,0.037973028,0.001502122,0.011331529,0.00189486,0.001894988,0.000578883,0.002073534,0.000235415,0.000875815,0.007367076,0.198065062,0.00161451,0.016070367,0.112108799,0.014719149,0.001769904
YL2_A7_A,A2_6_7,AAB,0.001648501,0.011190255,0.001580042,0.001150509,0.005090686,0.001214691,0.008519951,0.001867616,0.0290331,0.002226574,0.001670429,0.002172774,0.026240201,0.001049894,0.000447434,0.008020945,0.052653371,0.059217134,0.000975525,0.013333847,0.000661188,0.007850428,0.001610463,0.004487409,0.000553549,0.008207512,0.010188599,0.005836883,0.000994171,0.021378389,0.025992822,0.033053076,0.035631116,0.011512373,0.001557683,0.002116903,0.000275849,0.010331527,0.002530021,0.000467239,0.002409167,0.114453004,0.000564536,0.002460306,0.0005928,0.051331622,0.001690524,0.017565787,0.046701972,0.001710168,0.021254583,0.002547836,0.007187064,0.001075929,0.002389918,0.002119944,0.002033009,0.009269922,0.254090031,0.002625672,0.020935651,0.001579092,0.018015661,0.000855124
