Sample,Group,YL_A,"10,12-Tricosadiynoic acid",1-Butanol,"1-Dodecanol, 3,7,11-trimethyl-",1-Monopalmitin,"2,3,5,8-Tetramethyldecane","2,4,6-Trimethyldecane","2,4-Di-tert-butylphenol","2,6,10-Trimethyltetradecane","2,6,11,15-Tetramethylhexadecane","2,6,11-trimethyldodecane","2,6-Bis(tert-butyl)phenol","2,6-Dimethylundecane","2,7,10-trimethyldodecane",2-Hexadecanol,2-Hydroxy-3-methylbutyric acid,2-Methyl-1-hexadecanol ,2-Methyleicosane,2-Methyloctadecane,2-Methylundecane,2-Myristynoyl pantetheine,2-Vinyl-9-[3-deoxy-β-d-ribofuranosyl]hypoxanthine,3-Ethyl-5-(2'-ethylbutyl)octadecane,3-Hydroxypropyl palmitate,4-Ethyl-1-octyn-3-ol,4-Methyldecane,6-Methyloctadecane,6-Pentadecanol,alpha-Ketoisovaleric acid,Benzoic Acid,Butanedioic acid,Citric acid,"Cyclopropanetetradecanoic acid, 2-octyl-, methyl ester",Decanal,Decane,D-Mannitol,Dodecyl iodide,Ethyl iso-allocholate,Fumaric acid,Galactopyranose,Glycerol monostearate,Heptacosane,Heptadecane,Hexadecane,Isocalamenediol,Lactic Acid,Lactose,L-Arabitol,Malic acid,Melibiose,Myo-Inositol,"N,N-Dimethylglycine",n-Hexadecanoic acid,Nonadecane,Octadecanoic acid,Palmitic Acid,Pentadecane,Phosphoric acid,Pyrrole,Stearic acid,tert-Hexadecanethiol,trans-2-undecenoic acid,Undecane,"Undecane, 4,8-dimethyl-","β-D-Glucopyranose, 4-O-β-D-galactopyranosyl-"
YL2_YL_A,YL,YL,26420.978,69148.954,152148.217,3547027.938,53101.631,57827.741,939122.56,37416.287,43859.914,98526.667,36885.703,245712.519,79148.168,335672.854,84424.792,98038.051,49586.554,701573.182,259787.895,53973.234,53414.113,28303.662,30653.784,267185.263,17065.936,245643.358,48092.06,20562.228,229518.127,71765.147,28350.927,56540.902,97531.586,10338.245,1335346.167,1204873.325,28134.738,34216.015,607724.273,2117586.888,388428.964,1286163.594,49831.37,830122.909,1293731.739,394920.404,82978.391,95919.425,2145024.858,11417848.83,87127.693,1860084.53,320394.571,949772.375,19679723.6,237771.743,856666.161,13666.859,17767.709,26927.704,36767.945,30752.847,68751.648,329686.647
YL2_YL_B,YL,YL,50529.313,89014.256,203783.782,3004154.65,38948.454,28818.424,819957.476,84573.061,34191.84,10034.703,30499.623,192889.679,31278.474,202036.551,67086.255,263068.115,99616.191,778559.582,222531.087,51667.878,65493.87,16951.773,85869.32,259317.496,55972.582,262115.774,115881.407,33525.501,220217.084,12277.644,108134.36,978845.013,76422.676,99444.09,50644.057,1031801.702,65083.275,22610.416,493284.598,1875378.395,455974.807,1124727.682,43191.224,839195.068,910333.373,334369.533,78908.726,77513.437,2225646.401,9240845.174,12954.318,3055785.82,277666.269,1131477.668,13255820.55,126061.476,541686.339,28432.183,19041.928,19387.349,75516.226,56292.176,67330.191,200926.49
YL2_A2_A,A2_6_7,AAB,22707.028,422419.766,51251.315,66665.42,193395.603,861498.066,16118.706,983756.778,1310430.52,4214682.64,306482.56,63804.898,962478.208,13539.626,44616.712,18503.784,2127075.696,2189410.663,54357.437,215593.98,34810.38,280511.452,98502.737,205415.973,477880.437,296961.518,122383.694,270222.195,81350.122,1206185.604,724128.106,1618986.149,1344751.788,489517.778,42680.872,50805.14,94516.65,551826.557,75936.451,90919.91,187225.859,51665.431,216560.412,60976.284,55586.635,1279224.176,4486915.623,728465.394,1717566.854,40934.641,257196.459,62239.912,34175.849,10472.015,92042.12,65161.07,43989.115,329721.343,8081496.073,783052.756,785995.1,4827417.964,649016.792,28598.262
YL2_A2_B,A2_6_7,AAB,52959.265,349948.497,10376.626,42376.174,212725.671,729998.671,18573.008,851995.168,1089012.292,3697567.953,250530.244,89132.929,851745.669,49986.677,61350.37,23394.278,1705961.894,92615.529,74366.648,52504.025,10049.457,255498.11,82382.398,43583.058,407002.918,286487.77,52986.384,190784.956,157885.811,604721.921,168985.814,1528932.769,1319630.475,439698.786,45160.301,18401.32,36771.797,250996.357,76352.59,83122.95,62664.685,37054.174,210854.118,191593.104,37909.067,1707826.252,31410.108,65725.165,1778645.402,20403.943,12380.462,1032798.107,89376.465,427288.282,48887.322,142005.778,332576.851,307061.373,2815093.697,166557.468,823994.15,4212080.685,837173.734,29064.769
YL2_A4_A,A4,AAB,14734.7,374935.131,46331.772,84702.44,83032.693,67025.424,274478.837,35940.896,29162.176,79829.655,35094.834,54800.114,47970.238,19618.897,52455.148,147305.962,14036.913,2886539.78,259676.723,263129.252,35844.173,246320.086,14271.458,485137.706,13871.991,42859.01,29972.117,536864.073,144950.094,414706.004,765344.942,1405238.78,1221677.055,231132.45,37638.865,3408588.96,21601.172,619053.827,1051577.067,18403.288,1879281.206,4068206.704,78516.001,51125.315,17854.036,1964811.75,72742.164,2984625.429,1180875.724,5306795.669,306845.39,62876.139,238384.517,38162.769,16316043.65,32573.683,63570.255,322312.211,89162.967,48600.558,728580.091,77368.644,21572.322,95729.003
YL2_A4_B,A4,AAB,88126.647,353730.083,68809.861,82655.551,31705.382,93928.228,257132.951,73014.973,92803.271,51494.599,80780.207,93389.742,26416.938,60441.016,41317.425,122347.783,58642.723,1898416.957,176012.007,432110.733,28515.298,299167.44,62482.396,466743.204,47319.006,92719.042,71747.236,512673.958,42782.16,1643393.758,749977.262,1175326.914,1098114.247,205980.217,31098.661,3183151.413,61504.565,366711.323,1113800.396,12564.712,1818197.179,3781143.495,22224.097,34585.992,6345192.977,868790.844,65556.08,26592.874,1955528.402,7271228.677,816457.028,92434.564,206860,16205.741,14968015.7,83417.647,67229.836,297358.505,95622.335,50491.205,607636.013,32000.002,44986.029,22471.076
YL2_A4_C,A4,AAB,88271.951,438043.341,63791.826,52758.602,99192.187,71430.279,336337.233,25359.143,25685.395,77460.83,69732.702,33649.745,38891.6,98675.527,28666.359,268047.393,49416.869,2110233.24,230906.707,485237.895,14091.871,277075.88,55265.28,556206.25,16165.158,18626.794,53871.41,545953.455,228342.876,1634486.773,622944.626,1206105.088,1383812.541,259045.208,79882.411,3620395.31,86918.718,423205.374,1102012.061,31139.139,1808705.585,4298218.129,23414.025,97154.983,14933827.05,1963888.483,66025.952,826885.129,1138030.325,4130414.384,299003.767,87019.668,263964.903,66124.436,18261240.53,39511.382,12715.583,345600.574,56867.618,77215.639,660998.775,56869.081,14217.202,57059.104
YL2_A6_A,A2_6_7,AAB,61576.795,373400.628,65577.026,92394.46,223896.979,786195.458,88025.943,985895.099,1144141.443,3697765.112,288774.651,94571.645,892784.297,87740.464,199816.111,77241.399,1858556.12,23796.715,19724.204,242864.079,90742.651,323808.279,47331.394,14988.002,448226.984,467189.284,163160.164,214846.385,127014.748,231560.708,15837.587,1422984.921,1349799.353,476024.393,90928.664,66031.896,35432.555,250639.913,27354.042,17646.709,25044.494,82977.888,217282.979,27312.358,16180.801,96533.411,16229.212,84423.591,1614932.885,19656.011,97303.315,57540.253,59728.778,31718.653,61839.9,145739.422,66247.503,316524.095,5351008.858,51303.34,709777.559,4437722.581,703072.838,73798.516
YL2_A6_C,A2_6_7,AAB,67907.956,443120.569,115947.761,26617.207,265631.511,886769.208,40431.79,988550.071,1060810.125,4109745.076,310108.803,71539.542,951679.527,192919.612,227635.861,77751.482,2128979.95,43490.734,94856.182,228775.678,26914.915,326696.343,72797.676,226965.229,500098.68,498285.095,30914.331,479208.484,181179.312,1702331.372,816011.515,1464819.016,1563253.99,543039.008,25803.728,18969.107,18192.688,347682.786,37593.411,91010.995,89601.304,11490.754,225089.735,112875.75,31226.222,84803.148,4640282.487,126784.803,1713972.298,67800.647,511466.377,85527.494,85533.264,26128.789,93592.206,10625.846,39531.265,332524.539,8939977.95,72873.451,725361.277,5060206.906,664371.922,79887.42
YL2_A7_A,A2_6_7,AAB,63762.38,432827.843,61114.426,44500.541,196902.621,46983.035,329543.136,72237.505,1122971.152,86121.635,64610.533,84040.704,1014944.614,40608.834,17306.29,310242.114,2036579.515,2290459.274,37732.317,515739.828,25574.069,303646.666,62291.089,173568.464,21410.718,317458.333,394084.789,225764.777,38453.554,826894.609,1005376.254,1278459.771,1378175.791,445287.041,60249.6,81879.68,10669.572,399613.099,97858.675,18072.322,93184.172,4426927.261,21835.671,95162.159,22928.921,1985455.603,65387.752,679427.007,1806385.385,66147.594,822105.924,98547.742,277988.422,41615.852,92439.623,81997.299,78634.739,358551.286,9827947.245,101558.36,809769.952,61077.677,696827.663,33075.328
