COG20_FUNCTION,enrichment_score,unadjusted_p_value,adjusted_q_value,associated_groups,accession,gene_clusters_ids,p_Other,p_Sourdough,N_Other,N_Sourdough
Fe2+ transport protein FeoA (FeoA) (PDB:2GCX),18.57234963,1.64E-05,0.015157864,Other,COG1918,"GC_00001881, GC_00003745, GC_00005473",0.9688,0.4828,32,29
Fe2+ transporter FeoB (FeoB) (PDB:3TAH) (PUBMED:32095817),18.57234963,1.64E-05,0.015157864,Other,COG0370,GC_00001545,0.9688,0.4828,32,29
Flagellar biosynthesis/type III secretory pathway ATPase FliI (FliI) (PDB:5B0O),18.20706927,1.98E-05,0.015157864,Other,COG1157,"GC_00001790, GC_00006137",0.875,0.3448,32,29
Putative Mn2+ efflux pump MntP (MntP),16.73186716,4.31E-05,0.017507216,Sourdough,COG1971,GC_00002708,0.0312,0.4828,32,29
Plasmid stabilization system protein ParE (ParE) (PDB:3KXE),16.46676095,4.95E-05,0.017507216,Other,COG3668,"GC_00005570, GC_00007486, GC_00007533, GC_00008687, GC_00008885, GC_00008886, GC_00010963",0.4375,0,32,29
Flagellar motor switch/type III secretory pathway protein FliN (FliN) (PDB:1O9Y),15.87343978,6.77E-05,0.017507216,Other,COG1886,"GC_00001797, GC_00007260",0.8438,0.3448,32,29
Uncharacterized conserved protein probably involved in high-affinity Fe2+ transport (Tpd) (PDB:2O6C) (PUBMED:18456808),15.64822456,7.63E-05,0.017507216,Sourdough,COG3470,GC_00002476,0.0625,0.5172,32,29
High-affinity Fe2+/Pb2+ permease (FTR1),15.64822456,7.63E-05,0.017507216,Sourdough,COG0672,GC_00002471,0.0625,0.5172,32,29
"Iron uptake system EfeUOB, periplasmic (or lipoprotein) component EfeO/EfeM (EfeO) (PDB:3AT7)",15.64822456,7.63E-05,0.017507216,Sourdough,COG2822,GC_00002470,0.0625,0.5172,32,29
"Aminopeptidase N, contains DUF3458 domain (PepN) (PDB:6ATK) (PUBMED:24123841)",15.64822456,7.63E-05,0.017507216,Other,COG0308,"GC_00001597, GC_00001845",0.9375,0.4828,32,29
Molybdopterin-binding protein MopI (MopI) (PDB:1B9M),14.96759149,1.09E-04,0.017826448,Other,COG3585,GC_00001359,0.9688,0.5517,32,29
